code,name_pt,name_en,end_use,sterile_at_import,unit_value_usd,gross_weight,net_weight;;;;;;;;;;;
18568,Descongelador de Sêmen e Embriões - Verde,Semen and Embryo Thaw Unit - Green,Veterinary Use,NO,299,0.95,0.575;;;;;;;;;;;
10130,Camisinha para Aspiração Folicular,Sanitary Chemise for Follicular Aspiration,Veterinary Use,NO,11,0.2,0.195;;;;;;;;;;;
"33831,""Lacrador 0,25 -  Corpo Redondo - Laranja"",Rounded Straw Sealing 0.25 - Orange,Veterinary Use,NO,40,0.03,0.02";;;;;;;;;;;
31665,Aplicador de Sêmen com Trava Automática de Alumínio para Novilhas - Vermelho,Semen Applicator with Aluminum Automatic Lock for Hefers - Red,Veterinary artificial insemination instrument for bovine use.Country of Origin: Brazil,NO,50,0.08,0.04;;;;;;;;;;;
32067,Camisinha Sanitária para Transferência de Embriões - IMV,Sanity Chamise for Embryo Transfer - IMV,Veterinary Use,NO,15,0.095,0.09;;;;;;;;;;;
"24157, Guia da Agulha Adaptador Mandril Leve com Furo 20G,Light Mandrel Adapter Needle Guide with Hole 20G-,""Reusable needle guide for use in aspiration guides, veterinary accessory for oocyte aspiration.Country of origin: Brazil"",NO,12,0.09,0.07";;;;;;;;;;;
10522, Cordão do Aquecedor de Bolso, Pocket Heater Cord,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,1.82,0.01,0.008;;;;;;;;;;;
26158,Conector Dupont 4 vias - Alojamento Mini-,4-Way Dupont Mini-Latch Housing,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.02,0.0027,0.0026;;;;;;;;;;;
15707,Conector Macho para Placa 3 Posições,3-Position Male PCB Connector,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.44,0.0008,0.0008;;;;;;;;;;;
16715, Conector Macho para Placa 2 posiçõe,2-Position Male PCB Connector,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.24,0.0004,0.0004;;;;;;;;;;;
15691, Conector Macho para Placa 6 Posições,6-Position Male PCB Connector,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.49,0.03,0.02;;;;;;;;;;;
16713,Conector Fêmea para Placa 2 posições,2-Position Female PCB Connector,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.05,0.0009,0.0009;;;;;;;;;;;
19434, Conector Fêmea para Placa 6 posições,6-Position Female PCB Connector,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.13,0.03,0.02;;;;;;;;;;;
17218,Terminal para Conector Femea,Female Connector Terminal ,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.03,0.0006,0.0006;;;;;;;;;;;
12824,Terminal para Conector Série 2545 Fêmea,Female Connector Series 2545 Terminal,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.03,0.0006,0.0005;;;;;;;;;;;
"24726,"" Acabamento Display OLED 1,3"","" 1.3"""" OLED Display Bezel"",Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.25,0.0038,0.0038";;;;;;;;;;;
15022,Cordão do Aquecedor de Bolso,Pocket Heater Cord,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,2.11,0.01,0.008;;;;;;;;;;;
26494,Fechamento Inferior da Mesa Estendida para Lupa,Extended Table Bottom Cover for Magnifie,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,5.54,0.08,0.07;;;;;;;;;;;
16980,Módulo Aquecedor Slim,Slim Heater Module,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,38.8,0.0003,0.0003;;;;;;;;;;;
"24691,""Chicote Cabo Flexível 0,50 mm² Laranja"", 0.50 mm² Orange Cable Harness,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.71,0.0105,0.01";;;;;;;;;;;
16991,Pé de Borracha Auto-Adesivo Redondo,-Self-Adhesive Rubber Foot,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.12,0.0001,0.0001;;;;;;;;;;;
11378,Sensor de Pressão MPX5700DP,Pressure Sensor MPX5700DP,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,15.83,0.0053,0.0053;;;;;;;;;;;
12755, Válvula Solenóide 12V Normal Aberta ,12V Normally Open Solenoid Valve,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,37.75,0.0002,0.0002;;;;;;;;;;;
"11088,"" Anel Oring 3,97 mm int x Ø 1,2 mm"",O-Ring,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.12,0.0001,0.0001";;;;;;;;;;;
31299,Tubo Elastomero T 8.0 X 4.0 mm Natural,Natural Elastomer Tube 8.0 × 4.0 mm,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.01,0.0345,0.034;;;;;;;;;;;
12258,Resistência Silicone,Silicone Heating,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,1.38,0.012,0.01;;;;;;;;;;;
"13196,""Cabo de Cobre Flexível 1,00 mm² Preto"",1.00 mm² Black Flexible Copper Cable,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.31,0.0147,0.0147";;;;;;;;;;;
"13610,""Cabo de Cobre Flexível 1,00 mm² Vermelho"",1.00 mm² Red Flexible Copper Cable,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.31,0.0147,0.0147";;;;;;;;;;;
"11560,"" Cabo Flexível 0,50 mm² Cobre Estanhado  Laranja"",0.50 mm² Orange Tinned Copper Cable,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.3,0.0075,0.0075";;;;;;;;;;;
"11035,"" Cabo Flexível 0,50 mm² Cobre Estanhado Preto"",0.50 mm² Black Tinned Copper Cable,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,0.11,0.0075,0.0075";;;;;;;;;;;
21952,Acabamento de Fixação para LED,3 mm LED Mounting Bezel,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,2.8,0.001,0.001;;;;;;;;;;;
11974, Resistencia Cartucho,Cartridge Heater,Replacement part for maintenance of veterinary animal reproduction equipment.,NO,7.25,0.0005,0.0005;;;;;;;;;;;
